id,season,city,citystadium,date,Home,team1,team2,toss_winner,Toss,winner_text,winner,Bat1,Bat2,Bat3,Bat4,Bat5,Bat6,Bat7,Bat8,Bat9,Bat10,Bat11,Bowl1,Bowl2,Bowl3,Bowl4,Bowl5,Bowl6,Bowl7,Bowl8,Bowl9,Bowl10,Bowl11
15,2017,Delhi,Delhi,4/15/2017,1,Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,1,Delhi Daredevils,1,0.29086972,-7.608694612,-1.1785323,2.54821906,-4.792379436,0.69278637,6.532501065,1.490961031,2.897892254,-6.632643566,-3.827126207,0,0,-3.25,0,-3.25,-2.514166667,1.561666667,-3.863,10.2165,-0.878,-2.881666667
16,2017,Mumbai,Mumbai,4/16/2017,1,Gujarat Lions,Mumbai Indians,Mumbai Indians,1,Mumbai Indians,1,-3.025080713,-3.263759399,-3.964181536,6.539287223,1.899298034,-2.079125506,3.187305848,3.480674453,3.401268132,-7.419432789,2.279116756,-12.63975,-6.5,-12.143,19.5305,12.39225,6.483333333,-2.819583333,3.9375,8.426166667,4.07225,-3.544166667
17,2017,Bangalore,Bangalore,4/16/2017,0,Rising Pune Supergiant,Royal Challengers Bangalore,Royal Challengers Bangalore,0,Rising Pune Supergiant,0,-6.476195038,6.119432596,2.097654449,-7.059301732,2.432893204,1.095672018,-5.635796516,0.226923077,4.036518883,1.672523077,-1.043478261,-3.25,0.666666667,5.05,-3.25,2.8055,1.149,15.12791667,-7.00975,0.191666667,4.910416667,-6.1575
18,2017,Delhi,Delhi,4/17/2017,0,Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,0,Kolkata Knight Riders,0,4.328976758,-5.605798983,-2.891449451,-1.288033465,-3.773797677,0.577087219,10.51228554,-0.964303314,0.26969475,1.137752393,-2.02605016,-10.55041667,-6.5,-3.25,-3.25,-17.0675,8.501666667,0.571666667,-6.396583333,-14.88583333,2.841916667,0.76575
19,2017,Hyderabad,Hyderabad,4/17/2017,1,Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab,0,Sunrisers Hyderabad,1,1.936608387,4.371372102,1.051311628,2.76692574,-4.830297532,-5.310682526,-7.48427881,-1.143730437,1.607062193,-2.941909814,-10.07202029,6.5,3.90625,4.9125,16.0015,3.25,3.888333333,-5.54125,-0.023083333,11.628,-1.78725,-3.798666667
20,2017,Rajkot,Gujarat,4/18/2017,0,Royal Challengers Bangalore,Gujarat Lions,Gujarat Lions,0,Royal Challengers Bangalore,0,-7.322376965,-3.898658083,4.486243906,1.426884695,-2.836204928,4.478293754,-3.833927204,-3.453380938,-0.182679045,-1.321528745,-2.087907692,-14.58425,6.75,0.968833333,-2.479166667,-13.45725,15.88975,-2.4715,-2.776916667,7.835833333,-0.899166667,-15.52083333
21,2017,Hyderabad,Hyderabad,4/19/2017,1,Sunrisers Hyderabad,Delhi Daredevils,Sunrisers Hyderabad,1,Sunrisers Hyderabad,1,7.553069156,6.072736225,1.173318433,1.999844236,0.216268114,-3.381727234,-5.365548817,2.456292963,-2.634691469,-4.951738407,-3.439376721,3.25,7.15625,-1.875,19.2515,13.0125,-2.196666667,-13.8625,20.21716667,3.839916667,-5.06025,-2.920666667
22,2017,Indore,Punjab,4/20/2017,0,Kings XI Punjab,Mumbai Indians,Mumbai Indians,1,Mumbai Indians,0,6.188658234,6.66291216,0.263684344,-0.581211069,-3.986230262,-4.441287886,-5.621765248,-0.566712002,-0.206444947,7.707015207,-2.0030606,-6.5,3.25,6.5,12.3175,-8.1805,-3.029333333,2.719166667,-2.191416667,-0.339166667,-2.7385,-1.639416667
23,2017,Kolkata,Kolkata,4/21/2017,0,Kolkata Knight Riders,Gujarat Lions,Gujarat Lions,1,Gujarat Lions,0,-5.084087933,1.374579259,-1.987580041,1.481079012,5.380760595,-3.861551064,-4.735711453,-4.367829216,-1.196887337,3.438161838,0.900732601,21.71691667,0,-5.643,0,17.0675,-15.05641667,-5.100833333,2.13,6.04025,6.878666667,-0.500416667
24,2017,Mumbai,Mumbai,4/22/2017,1,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,0,Mumbai Indians,1,-0.572197466,3.294648817,0.914847956,3.151186749,1.848509629,4.416894904,2.24577834,-7.452380476,-1.284516084,-0.031794098,1.590800794,3.25,-3.25,-3.25,16.2805,10.05641667,16.08166667,-8.792,-0.11275,4.202166667,-1.743583333,-3.065333333
